LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/Buenos Aires,2020-05-09,2,2020-06-17
ALL/Buenos Aires,2020-05-10,5,2020-06-17
ALL/Buenos Aires,2020-05-11,5,2020-06-17
ALL/Buenos Aires,2020-05-12,2,2020-06-17
ALL/Buenos Aires,2020-05-13,4,2020-06-17
ALL/Buenos Aires,2020-05-14,5,2020-06-17
ALL/Buenos Aires,2020-05-15,6,2020-06-17
ALL/Buenos Aires,2020-05-16,4,2020-06-17
ALL/Buenos Aires,2020-05-17,1,2020-06-17
ALL/Buenos Aires,2020-05-18,6,2020-06-17
ALL/Buenos Aires,2020-05-19,4,2020-06-17
ALL/Buenos Aires,2020-05-20,5,2020-06-17
ALL/Buenos Aires,2020-05-21,7,2020-06-17
ALL/Buenos Aires,2020-05-22,6,2020-06-17
ALL/Buenos Aires,2020-05-23,4,2020-06-17
ALL/Buenos Aires,2020-05-24,4,2020-06-17
ALL/Buenos Aires,2020-05-25,3,2020-06-17
ALL/Buenos Aires,2020-05-26,4,2020-06-17
ALL/Buenos Aires,2020-05-27,7,2020-06-17
ALL/Buenos Aires,2020-05-28,6,2020-06-17
ALL/Buenos Aires,2020-05-29,4,2020-06-17
ALL/Buenos Aires,2020-05-30,6,2020-06-17
ALL/Buenos Aires,2020-05-31,7,2020-06-17
ALL/Buenos Aires,2020-06-01,10,2020-06-17
ALL/Buenos Aires,2020-06-02,7,2020-06-17
ALL/Buenos Aires,2020-06-03,9,2020-06-17
ALL/Buenos Aires,2020-06-04,8,2020-06-17
ALL/Buenos Aires,2020-06-05,5,2020-06-17
ALL/Buenos Aires,2020-06-06,7,2020-06-17
ALL/Buenos Aires,2020-06-07,13,2020-06-17
ALL/Buenos Aires,2020-06-08,12,2020-06-17
ALL/Buenos Aires,2020-06-09,3,2020-06-17
ALL/Buenos Aires,2020-06-10,9,2020-06-17
ALL/Buenos Aires,2020-06-11,9,2020-06-17
ALL/Buenos Aires,2020-06-12,10,2020-06-17
ALL/Buenos Aires,2020-06-13,4,2020-06-17
ALL/Buenos Aires,2020-06-14,6,2020-06-17
ALL/Buenos Aires,2020-06-15,4,2020-06-17
ALL/Buenos Aires,2020-06-16,1,2020-06-17
ALL/Buenos Aires,2020-06-17,5,2020-06-17
ALL/CABA,2020-03-07,1,2020-06-17
ALL/CABA,2020-03-18,1,2020-06-17
ALL/CABA,2020-03-25,2,2020-06-17
ALL/CABA,2020-03-27,1,2020-06-17
ALL/CABA,2020-03-28,1,2020-06-17
ALL/CABA,2020-04-01,1,2020-06-17
ALL/CABA,2020-04-04,3,2020-06-17
ALL/CABA,2020-04-05,5,2020-06-17
ALL/CABA,2020-04-06,5,2020-06-17
ALL/CABA,2020-04-07,1,2020-06-17
ALL/CABA,2020-04-08,2,2020-06-17
ALL/CABA,2020-04-09,4,2020-06-17
ALL/CABA,2020-04-10,1,2020-06-17
ALL/CABA,2020-04-11,3,2020-06-17
ALL/CABA,2020-04-12,1,2020-06-17
ALL/CABA,2020-04-13,1,2020-06-17
ALL/CABA,2020-04-14,6,2020-06-17
ALL/CABA,2020-04-15,2,2020-06-17
ALL/CABA,2020-04-16,3,2020-06-17
ALL/CABA,2020-04-17,2,2020-06-17
ALL/CABA,2020-04-19,1,2020-06-17
ALL/CABA,2020-04-20,1,2020-06-17
ALL/CABA,2020-04-21,3,2020-06-17
ALL/CABA,2020-04-22,2,2020-06-17
ALL/CABA,2020-04-23,2,2020-06-17
ALL/CABA,2020-04-24,6,2020-06-17
ALL/CABA,2020-04-25,5,2020-06-17
ALL/CABA,2020-04-26,3,2020-06-17
ALL/CABA,2020-04-27,4,2020-06-17
ALL/CABA,2020-04-28,6,2020-06-17
ALL/CABA,2020-04-29,8,2020-06-17
ALL/CABA,2020-04-30,5,2020-06-17
ALL/CABA,2020-05-01,9,2020-06-17
ALL/CABA,2020-05-02,3,2020-06-17
ALL/CABA,2020-05-03,2,2020-06-17
ALL/CABA,2020-05-04,3,2020-06-17
ALL/CABA,2020-05-05,3,2020-06-17
ALL/CABA,2020-05-06,1,2020-06-17
ALL/CABA,2020-05-07,2,2020-06-17
ALL/CABA,2020-05-08,2,2020-06-17
ALL/CABA,2020-05-09,5,2020-06-17
ALL/CABA,2020-05-10,2,2020-06-17
